"Does Modi Govt comprehend that #KeralaFlood has left 357 have died, 4 lakh are in shelter homes, 30,000 houses destroyed & 16,000 Kms of roads damaged."
"Why is Modiji not declaring #KeralaFlood a ‘National Calamity’?Stop punishing flood ravaged Kerala.
#KeralaFlood 324 dead, 2.2 lakh in relief camps"
Chengannur near temple ASAP Help the rest..🙏🙏
